CLONE	NSEQ	NSITE	TREE_LENGTH	LHOOD	KAPPA_MLE	OMEGA_FWR_MLE	OMEGA_CDR_MLE	WRC_2_MLE	GYW_0_MLE	WA_1_MLE	TW_0_MLE	SYC_2_MLE	GRS_0_MLE	TREE
REPERTOIRE	188	121.8000	0.6979	-7279.4032	2.4841	0.4427	0.5891	1.6574	2.7449	2.3668	0.8976	-0.2684	-0.1369	`igphyml --repfile clone_5000_seqMini10_lineages_gy.tsv -m HLP --run_id hlp --threads 50 -o lr --omega e,e -t e --motifs WRC_2:0,GYW_0:1,WA_1:2,TW_0:3,SYC_2:4,GRS_0:5 --hotness e,e,e,e,e,e --oformat tab --outname clone_5000_seqMini10_igphyml-pass.tab --ASRc 0.1 `
27370	21	124	0.7231	-626.5618	2.4841	0.4427	0.5891	1.6574	2.7449	2.3668	0.8976	-0.2684	-0.1369	((((((((158906:0.0000000100,158932:0.0161075304)0_0:0.0080020483,158918:0.0164691820)0_1:0.0082698218,159036:0.0497492014)0_2:0.0218067616,159262:0.0319322086)0_3:0.0113348155,(158977:0.0161352579,159033:0.0243109751)0_33:0.0087614204)0_4:0.0537853195,((159131:0.0082109246,159225:0.0666048020)0_23:0.0079590382,((159166:0.0163010635,159129:0.0329168851)0_27:0.0082033671,(159126:0.0000005627,159303:0.0246191267)0_30:0.0000006794)0_26:0.0000006878)0_22:0.0367104248)0_5:0.0079921245,((158786:0.0081987599,((158783:0.0081460973,158767:0.0245746171)0_10:0.0081866061,(158816:0.0163130571,158815:0.0162692857)0_13:0.0000005165)0_9:0.0081426644)0_7:0.0000007610,(158873:0.0165115448,(159244:0.0000008178,159246:0.0160945179)0_18:0.0245575821)0_16:0.0164772767)0_6:0.0630865563)0_21:0.0203595669,27370_GERM:0.0000100000);
32077	16	120	0.4766	-352.1886	2.4841	0.4427	0.5891	1.6574	2.7449	2.3668	0.8976	-0.2684	-0.1369	(((((216248:0.0533401234,216136:0.0262011280)1_0:0.0087172242,216147:0.0086986194)1_1:0.0086219455,(((((215996:0.0087075483,216006:0.0087117193)1_6:0.0000006567,((216227:0.0174489203,216040:0.0087021212)1_10:0.0000007277,215953:0.0087216280)1_9:0.0000006839)1_5:0.0000007102,215975:0.0087242900)1_4:0.0000009441,215976:0.0087139493)1_3:0.0000005935,(((215804:0.0174928038,(216167:0.0531799130,215717:0.0000000100)1_20:0.0000005927)1_18:0.0000005895,215856:0.0086951230)1_17:0.0000009531,215790:0.0174901768)1_16:0.0087400980)1_2:0.0000007858)1_25:0.0083342058,215787:0.0092355038)1_26:0.1780696394,32077_GERM:0.0000100000);
17608	15	126	0.5222	-384.7817	2.4841	0.4427	0.5891	1.6574	2.7449	2.3668	0.8976	-0.2684	-0.1369	(((66966:0.0081999213,66709:0.0332836429)2_0:0.0082214259,((((((66949:0.0081292283,((66673:0.0000000100,66672:0.0080585716)2_9:0.0080883874,66679:0.0162690991)2_8:0.0000006508)2_6:0.0000006833,(66950:0.0081130193,66694:0.0244579964)2_13:0.0000006777)2_5:0.0000005850,((66560:0.0165907780,66548:0.0083187259)2_17:0.0080956621,66599:0.0081587227)2_16:0.0081796086)2_4:0.0081385928,66943:0.0082629708)2_3:0.0082998069,(66510:0.0000000100,66764:0.0082036372)2_22:0.0000006541)2_2:0.0000006923,66794:0.0246813384)2_1:0.0000008557)2_26:0.2924899850,17608_GERM:0.0000100000);
14429	15	116	0.4583	-339.5057	2.4841	0.4427	0.5891	1.6574	2.7449	2.3668	0.8976	-0.2684	-0.1369	((((((37087:0.0086411598,37094:0.0262111793)3_0:0.0263862239,((((((36870:0.0261214355,37139:0.0174609241)3_6:0.0000007159,(37110:0.0174667023,36802:0.0087058105)3_9:0.0000009324)3_5:0.0000006402,36900:0.0262811336)3_4:0.0000004137,36844:0.0087005141)3_3:0.0000007330,36855:0.0174354041)3_2:0.0012498182,((37061:0.0086786570,36817:0.0000000100)3_16:0.0000007567,37071:0.0173041250)3_15:0.0257195041)3_1:0.0080068850)3_20:0.0000006377,36974:0.0086996707)3_21:0.0000006230,37033:0.0086699643)3_22:0.0000006114,37168:0.0174531951)3_23:0.1791139970,14429_GERM:0.0000100000);
33272	14	121	0.6731	-482.6797	2.4841	0.4427	0.5891	1.6574	2.7449	2.3668	0.8976	-0.2684	-0.1369	(((((231809:0.0174423273,231845:0.0174583087)4_0:0.0086716746,232007:0.0436405465)4_1:0.0000006006,((232016:0.0174174351,231885:0.0086613545)4_20:0.0000006571,231871:0.0086738633)4_19:0.0000009411)4_2:0.0362062514,((((232116:0.0084179411,232138:0.0252942774)4_6:0.0084987086,((232204:0.0256269041,232051:0.0443416296)4_10:0.0000009568,232233:0.0084382974)4_9:0.0000006060)4_5:0.0170740298,(232159:0.1067259496,231737:0.0245521544)4_14:0.0451000820)4_4:0.0000007440,231856:0.0085296580)4_3:0.0334969172)4_18:0.1588363126,33272_GERM:0.0000100000);
5943	12	122	1.0296	-695.9778	2.4841	0.4427	0.5891	1.6574	2.7449	2.3668	0.8976	-0.2684	-0.1369	(((((260477:0.0352808396,260133:0.0073178026)5_0:0.1166130421,260427:0.1312687409)5_1:0.0209991767,260328:0.0937328119)5_3:0.0258227220,((260381:0.0000006651,(260162:0.0172773219,260385:0.0607385515)5_7:0.0082658594)5_5:0.1163910827,((260303:0.0852026649,((260267:0.0331715304,260286:0.0000005902)5_14:0.0083029708,260264:0.0000009560)5_13:0.0000012546)5_11:0.0797459773,260436:0.1035031556)5_10:0.0317356819)5_4:0.0100382894)5_19:0.0441536470,5943_GERM:0.0000100000);
15662	11	118	0.8849	-554.7185	2.4841	0.4427	0.5891	1.6574	2.7449	2.3668	0.8976	-0.2684	-0.1369	(((((49156:0.0269894667,49174:0.0083852394)6_0:0.0181188438,49172:0.0355363283)6_1:0.0745033517,(((49040:0.0175328668,((49242:0.0430129266,49134:0.0548557306)6_7:0.0637525221,49027:0.0087516413)6_6:0.0000007621)6_4:0.0087238012,49083:0.0626862678)6_3:0.0000006125,(49004:0.0261202664,48983:0.0000009029)6_12:0.0174384014)6_2:0.0723244936)6_15:0.0058511536,49227:0.1172461316)6_16:0.2231081832,15662_GERM:0.0000100000);
6758	11	124	0.5556	-409.4718	2.4841	0.4427	0.5891	1.6574	2.7449	2.3668	0.8976	-0.2684	-0.1369	((((((268980:0.0164392140,((268896:0.0081630795,268898:0.0409892232)7_6:0.0000007318,268879:0.0163701606)7_5:0.0000010096)7_3:0.0000008518,268956:0.0081564772)7_2:0.0000007363,((269005:0.0164692461,268847:0.0164530598)7_12:0.0000009283,(268786:0.0167449989,268792:0.0165355377)7_15:0.0082675945)7_11:0.0247070458)7_1:0.0480193928,268888:0.0350333380)7_0:0.0700406983,269027:0.1713885738)7_19:0.0418628270,6758_GERM:0.0000100000);
27683	11	124	0.5792	-428.1198	2.4841	0.4427	0.5891	1.6574	2.7449	2.3668	0.8976	-0.2684	-0.1369	(((((163464:0.0163608002,163466:0.0081531807)8_2:0.0000009864,(163401:0.0413555141,163613:0.0082366749)8_5:0.0081846537)8_1:0.0118406491,((163551:0.0082972802,(163563:0.0333046895,163540:0.0165854791)8_11:0.0000006738)8_9:0.0333310394,((163413:0.0000005526,163604:0.0502644763)8_15:0.0247434460,163477:0.0000000100)8_14:0.0000008825)8_8:0.0045333251)8_0:0.0395188179,163355:0.0912922353)8_19:0.1831499190,27683_GERM:0.0000100000);
