Type	ID	Observed_CDR_R	Observed_CDR_S	Observed_FWR_R	Observed_FWR_S	Expected_CDR_R	Expected_CDR_S	Expected_FWR_R	Expected_FWR_S	Focused_Sigma_CDR	Focused_CIlower_CDR	Focused_CIupper_CDR	Focused_Sigma_FWR	Focused_CIlower_FWR	Focused_CIupper_FWR	Focused_P_CDR	Focused_P_FWR
Group	All sequences combined	NA	NA	NA	NA	NA	NA	NA	NA	-1.66	-2.34	-1.06	-1.27	-1.75	-0.83	-1.53e-08	-1.17e-07
Germline	UCA, M254538_5	NA	NA	NA	NA	NA	NA	NA	NA	-1.66	-2.34	-1.06	-1.27	-1.75	-0.83	-1.53e-08	-1.17e-07
Sequence	BP34	0	0	1	0	0.164	0.049	0.576	0.211	  NA	  NA	  NA	1.65	-2.56	8.65	  NA	0.29
Sequence	M254999_1	0	0	3	1	0.164	0.049	0.576	0.211	-1.99	-9.01	2.19	0.165	-1.75	2.43	-0.232	0.46
Sequence	M254978_1	0	0	2	0	0.164	0.049	0.576	0.211	  NA	  NA	  NA	1.65	-1.55	6.91	  NA	0.21
Sequence	BP29	0	0	1	1	0.164	0.049	0.576	0.211	-1.99	-9.01	2.19	-0.796	-3.49	1.87	-0.232	-0.261
Sequence	M254967_1	0	0	1	2	0.164	0.049	0.576	0.211	-1.99	-7.28	1.18	-1.41	-3.83	 0.7	-0.148	-0.0958
Sequence	M254960_1	0	0	1	1	0.164	0.049	0.576	0.211	-1.99	-9.01	2.19	-0.796	-3.49	1.87	-0.232	-0.261
Sequence	M254544_3	0	0	3	2	0.164	0.049	0.576	0.211	-1.99	-7.28	1.18	-0.431	-2.11	1.33	-0.148	-0.297
Sequence	M254826_1	0	0	3	2	0.164	0.049	0.576	0.211	-1.99	-7.28	1.18	-0.431	-2.11	1.33	-0.148	-0.297
Sequence	M254825_1	0	0	3	2	0.164	0.049	0.576	0.211	-1.99	-7.28	1.18	-0.431	-2.11	1.33	-0.148	-0.297
Sequence	M254573_1	0	1	4	2	0.164	0.049	0.576	0.211	-2.1	-6.75	 0.7	-0.533	-1.97	0.93	-0.0933	-0.225
Sequence	M254827_1	1	0	3	2	0.164	0.049	0.576	0.211	-0.149	-2.58	1.96	-0.431	-2.11	1.33	-0.463	-0.297
Sequence	M254816_1	0	0	3	2	0.164	0.049	0.576	0.211	-1.99	-7.28	1.18	-0.431	-2.11	1.33	-0.148	-0.297
Sequence	M255017_1	0	0	4	1	0.164	0.049	0.576	0.211	-1.99	-9.01	2.19	0.414	-1.37	 2.6	-0.232	0.357
Sequence	M254547_3	0	0	0	1	0.164	0.049	0.576	0.211	-1.99	-9.01	2.19	-3.24	-10.2	0.94	-0.232	-0.0753
Sequence	M254858_1	0	0	0	1	0.164	0.049	0.576	0.211	-1.99	-9.01	2.19	-3.24	-10.2	0.94	-0.232	-0.0753
Sequence	M254861_1	0	0	0	3	0.164	0.049	0.576	0.211	-2.1	-6.75	 0.7	-3.35	-8.01	-0.56	-0.0933	-0.00681
Sequence	M254857_1	1	0	1	1	0.164	0.049	0.576	0.211	0.462	-2.23	3.12	-0.796	-3.49	1.87	0.354	-0.261
Sequence	BP21	0	0	0	2	0.164	0.049	0.576	0.211	-1.99	-7.28	1.18	-3.24	-8.54	-0.07	-0.148	-0.0222
Sequence	M254717_1	0	0	1	2	0.164	0.049	0.576	0.211	-1.99	-7.28	1.18	-1.41	-3.83	 0.7	-0.148	-0.0958
Sequence	M254732_1	0	0	1	2	0.164	0.049	0.576	0.211	-1.99	-7.28	1.18	-1.41	-3.83	 0.7	-0.148	-0.0958
Sequence	M254786_1	0	0	0	3	0.164	0.049	0.576	0.211	-2.1	-6.75	 0.7	-3.35	-8.01	-0.56	-0.0933	-0.00681
Sequence	M254561_2	0	0	0	3	0.164	0.049	0.576	0.211	-2.1	-6.75	 0.7	-3.35	-8.01	-0.56	-0.0933	-0.00681
Sequence	M254669_1	0	0	0	4	0.164	0.049	0.576	0.211	-2.21	-6.53	0.38	-3.47	-7.78	-0.87	-0.0587	-0.00212
Sequence	M254787_1	0	0	1	3	0.164	0.049	0.576	0.211	-2.1	-6.75	 0.7	-1.76	-4.06	0.12	-0.0933	-0.0346
Sequence	M254785_1	0	0	1	3	0.164	0.049	0.576	0.211	-2.1	-6.75	 0.7	-1.76	-4.06	0.12	-0.0933	-0.0346
Sequence	M254801_1	2	1	2	4	0.164	0.049	0.576	0.211	-0.369	-2.05	1.07	-1.63	-3.3	-0.19	-0.327	-0.0136
Sequence	M254668_1	0	0	0	4	0.164	0.049	0.576	0.211	-2.21	-6.53	0.38	-3.47	-7.78	-0.87	-0.0587	-0.00212
Sequence	M254671_1	0	0	1	4	0.164	0.049	0.576	0.211	-2.21	-6.53	0.38	-2.01	-4.23	-0.25	-0.0587	-0.0123
Sequence	M254673_1	0	0	1	4	0.164	0.049	0.576	0.211	-2.21	-6.53	0.38	-2.01	-4.23	-0.25	-0.0587	-0.0123
Sequence	M254672_1	0	0	1	4	0.164	0.049	0.576	0.211	-2.21	-6.53	0.38	-2.01	-4.23	-0.25	-0.0587	-0.0123
Sequence	M254686_1	0	0	1	4	0.164	0.049	0.576	0.211	-2.21	-6.53	0.38	-2.01	-4.23	-0.25	-0.0587	-0.0123
Sequence	M254667_1	0	0	0	4	0.164	0.049	0.576	0.211	-2.21	-6.53	0.38	-3.47	-7.78	-0.87	-0.0587	-0.00212
Sequence	M254779_1	0	0	3	3	0.164	0.049	0.576	0.211	-2.1	-6.75	 0.7	-0.796	-2.36	0.74	-0.0933	-0.148
Sequence	M254574_1	0	0	2	3	0.164	0.049	0.576	0.211	-2.1	-6.75	 0.7	-1.16	-2.95	0.48	-0.0933	-0.0829
Sequence	M254722_1	0	0	1	2	0.164	0.049	0.576	0.211	-1.99	-7.28	1.18	-1.41	-3.83	 0.7	-0.148	-0.0958
Sequence	M254731_1	0	0	1	2	0.164	0.049	0.576	0.211	-1.99	-7.28	1.18	-1.41	-3.83	 0.7	-0.148	-0.0958
Sequence	M254550_2	0	0	0	3	0.164	0.049	0.576	0.211	-2.1	-6.75	 0.7	-3.35	-8.01	-0.56	-0.0933	-0.00681
Sequence	M254617_1	1	0	0	4	0.164	0.049	0.576	0.211	-0.748	-2.97	1.01	-3.47	-7.78	-0.87	-0.227	-0.00212
Sequence	M254599_1	0	0	2	4	0.164	0.049	0.576	0.211	-2.21	-6.53	0.38	-1.42	-3.15	 0.1	-0.0587	-0.0342
Sequence	M254733_1	0	0	0	3	0.164	0.049	0.576	0.211	-2.1	-6.75	 0.7	-3.35	-8.01	-0.56	-0.0933	-0.00681
Sequence	M254833_1	0	0	1	1	0.164	0.049	0.576	0.211	-1.99	-9.01	2.19	-0.796	-3.49	1.87	-0.232	-0.261
Sequence	M254991_1	0	0	3	0	0.164	0.049	0.576	0.211	  NA	  NA	  NA	1.76	-1.07	6.39	  NA	0.15
Sequence	M254993_1	0	0	2	0	0.164	0.049	0.576	0.211	  NA	  NA	  NA	1.65	-1.55	6.91	  NA	0.21
Sequence	M254992_1	0	0	2	0	0.164	0.049	0.576	0.211	  NA	  NA	  NA	1.65	-1.55	6.91	  NA	0.21
Sequence	M254994_1	0	0	1	0	0.164	0.049	0.576	0.211	  NA	  NA	  NA	1.65	-2.56	8.65	  NA	0.29
Sequence	M255008_1	0	0	2	1	0.164	0.049	0.576	0.211	-1.99	-9.01	2.19	-0.186	-2.32	2.21	-0.232	-0.413
Sequence	M254918_1	0	0	0	0	0.164	0.049	0.576	0.211	  NA	  NA	  NA	  NA	  NA	  NA	  NA	  NA
Sequence	M254917_1	1	0	0	0	0.164	0.049	0.576	0.211	2.91	-1.3	 9.9	  NA	  NA	  NA	0.106	  NA
Sequence	M254950_1	0	0	0	2	0.164	0.049	0.576	0.211	-1.99	-7.28	1.18	-3.24	-8.54	-0.07	-0.148	-0.0222
Sequence	M254899_1	1	0	2	0	0.164	0.049	0.576	0.211	2.91	-1.3	 9.9	1.65	-1.55	6.91	0.106	0.21
